Company Name,Margin
Customer4156,185777
Customer3931,184362
Customer106,173475
Customer684,144751
Customer1074,127485
Customer1525,101681
Customer11236,91498
Customer2179,91091
Customer1013,86801
Customer1939,82894
Customer3910,81611
Customer1659,76070
Customer2685,74092
Customer6109,74035
Customer772,72815
Customer3362,69265
Customer1586,67527
Customer3707,67111
Customer14553,65755
Customer1570,65641
Customer2052,64917
Customer13515,64404
Customer1448,63899
Customer8128,63468
Customer9140,63309
Customer8871,62590
Customer594,60963
Customer11920,59503
Customer3839,55799
Customer76,55760
Customer17972,55135
Customer168,53577
Customer102,53051
Customer3502,51993
Customer643,51240
Customer11931,51166
Customer2730,51061
Customer4846,47968
Customer1499,47745
Customer5746,47527
Customer3787,47336
Customer8666,46444
Customer1357,46343
Customer6262,45978
Customer3807,45947
Customer2849,45688
Customer1847,45640
Customer880,45486
Customer4519,45178
Customer1614,44877
